order_id,customer_id,order_date,status,total_amount,shipping_address
ORD-00000001,CUST-00017397,2020-06-26T15:07:15,processing,1462.41,"217 Elm, IN"
ORD-00000002,CUST-00026900,2022-04-29T19:07:16,delivered,3396.92,"93 Cherry, JP"
ORD-00000003,CUST-00022959,2024-07-03T00:40:42,delivered,4840.73,"755 Pine, NO"
ORD-00000004,CUST-00010566,2021-04-01T22:08:25,delivered,2079.38,"642 Main, JP"
ORD-00000005,CUST-00020595,2019-08-01T06:12:08,pending,3616.48,"479 Main, IN"
ORD-00000006,CUST-00028292,2024-01-19T06:00:44,processing,4594.38,"11 Pine, CA"
ORD-00000007,CUST-00004967,2024-03-02T22:40:10,pending,4662.32,"144 Willow, MX"
ORD-00000008,CUST-00001931,2024-06-29T22:12:08,processing,844.56,"153 Maple, NL"
ORD-00000009,CUST-00037479,2021-10-07T04:49:11,pending,862.92,"122 Main, NL"
ORD-00000010,CUST-00030199,2019-01-09T16:42:06,shipped,1908.37,"938 Birch, AU"
ORD-00000011,CUST-00003445,2024-08-27T12:58:20,cancelled,2691.65,"765 Elm, FR"
ORD-00000012,CUST-00013293,2023-11-12T03:30:32,cancelled,113.5,"172 Birch, MX"
ORD-00000013,CUST-00009628,2024-11-08T15:29:31,processing,1145.88,"660 Spruce, US"
ORD-00000014,CUST-00001127,2023-10-05T00:21:25,shipped,1132.01,"257 Cherry, DE"
ORD-00000015,CUST-00002117,2021-01-16T18:49:41,pending,4659.32,"295 Elm, CA"
ORD-00000016,CUST-00013516,2019-09-29T12:42:13,pending,4431.95,"333 Main, US"
ORD-00000017,CUST-00004797,2022-05-22T10:54:57,processing,1362.79,"546 Pine, DE"
ORD-00000018,CUST-00025066,2019-02-19T23:56:10,delivered,1951.62,"35 Cherry, SE"
ORD-00000019,CUST-00023549,2023-02-18T11:21:39,cancelled,18.1,"160 Willow, AU"
ORD-00000020,CUST-00021937,2024-05-24T18:35:51,shipped,2110.69,"941 Birch, ES"
ORD-00000021,CUST-00008367,2024-08-23T20:42:16,shipped,2798.96,"508 Main, SE"
